Match,Shots,Passes,Dribbles,Tackles Attempted,Interceptions,Clearances,Blocks,Offsides,Fouls,Aerial duels,Touches,Loss of possession,Errors,Saves,Claims,Punches,Shots - Results - Goals,Shots - Results - Shots on Target,Shots - Results - Shots off Target,Shots - Results - Woodworks,Shots - Results - Blocked,Shots - Results - Own,Shots - Zones - 6-yard box,Shots - Zones - Penalty Area,Shots - Zones - Outside of box,Shots - Situation - Open Play,Shots - Situation - Fastbreak,Shots - Situation - Set Pieces,Shots - Situation - Penalty,Shots - Situation - Own Goal,Shots - Body Parts - Right foot,Shots - Body Parts - Left foot,Shots - Body Parts - Head,Shots - Body Parts - Other body parts,Passes - Pass Type - Cross,Passes - Pass Type - Freekick,Passes - Pass Type - Corner,Passes - Pass Type - Through Ball,Passes - Pass Type - Throw In,Passes - Pass Type - Key Passes,Passes - Length - Long,Passes - Length - Short,Passes - Height - Chipped,Passes - Height - Ground,Passes - Body Parts - Head,Passes - Body Parts - Feet,Passes - Direction - Forward,Passes - Direction - Backward,Passes - Direction - Left,Passes - Direction - Right,Passes - Target Zone - Defensive Third,Passes - Target Zone - Mid Third,Passes - Target Zone - Final Third,Dribbles - Outcome - Successful,Dribbles - Outcome - Unsuccessful,Tackles Attempted - Outcome - Successful Tackles,Tackles Attempted - Outcome - Was Dribbled,Clearances - Outcome - Total,Clearances - Outcome - Off The Line,Clearances - Body Parts - Head,Clearances - Body Parts - Feet,Blocks - Type - Blocked Shots,Blocks - Type - Crosses,Loss of possession - Type - Dispossessed,Loss of possession - Type - Turnover,Errors - Type - Lead to Shot,Errors - Type - Lead to Goal,Average Age,Market Value,Spectators,Pass rate,Ball possession,Tackle rate,Distance covered,Goals scored,Result-GoalDiff,Result-W/L/D,TravelDistance
Wales vs Northern Ireland,7,419,16,25,9,27,11,2,8,19,613,23,1,3,2,1,0,1,3,0,3,0,0,3,4,6,0,1,0,0,2,3,2,0,17,18,0,0,29,3,96,376,49,423,47,425,319,147,230,238,93,238,141,7,9,17,8,27,0,14,13,1,10,13,10,1,0,27.4,155.5,44342,74,56,48,100.0,1,1,1,316.97
Northern Ireland vs Wales,6,318,18,27,12,14,16,1,19,28,502,19,0,1,2,0,0,3,1,0,1,1,0,2,3,5,0,0,0,1,2,2,1,0,25,6,6,1,32,5,65,314,44,335,73,306,270,109,178,199,44,180,155,8,10,20,7,14,0,10,4,2,14,8,11,0,0,29.8,26.35,44342,70,44,52,104.0,0,-1,-1,360.44
Croatia vs Portugal,17,713,24,33,18,26,11,0,12,33,976,27,0,1,0,0,0,0,14,1,3,0,1,11,5,11,0,6,0,0,6,4,7,0,37,24,6,1,34,14,99,690,88,701,74,715,486,300,414,374,156,405,228,14,10,24,9,26,0,15,11,0,11,10,17,0,0,29.1,196.0,33523,81,59,65,143.0,0,-1,-1,230.14
Portugal vs Croatia,6,498,23,33,27,34,16,1,28,12,733,26,1,0,2,0,1,2,4,0,0,0,2,3,1,2,3,1,0,0,3,0,2,1,20,9,2,0,35,5,93,463,59,497,46,510,388,166,309,245,99,277,180,9,14,19,14,34,0,18,16,3,13,16,10,1,0,27.3,255.0,33523,74,41,35,148.0,1,1,1,203.40
France vs Republic of Ireland,25,530,29,25,3,29,7,0,8,19,743,15,0,0,2,1,2,11,8,1,6,0,1,13,11,19,0,6,0,0,9,11,5,0,35,6,9,5,17,21,48,541,57,532,68,521,390,194,290,296,62,309,218,15,14,21,4,29,0,15,14,1,6,6,9,0,0,29.2,299.0,56279,86,67,60,107.0,2,1,1,409.63
Republic of Ireland vs France,6,266,15,32,16,20,17,0,12,14,421,14,0,9,0,1,1,1,4,0,1,0,0,4,2,3,0,2,1,0,2,3,1,0,7,7,1,1,17,3,78,216,29,265,40,254,210,84,134,158,45,138,111,4,11,17,15,20,0,13,7,5,12,12,2,0,0,27.9,60.8,56279,62,33,40,105.0,1,-1,-1,400.58
Germany vs Slovakia,21,589,27,42,11,9,8,1,14,16,768,16,0,2,2,0,3,7,8,0,6,0,2,12,7,14,0,6,1,0,11,6,3,1,30,12,8,7,13,13,59,577,83,553,31,605,399,232,315,318,69,317,250,18,9,21,21,9,0,3,6,0,8,10,6,0,0,27.0,378.0,44312,87,61,50,112.0,3,3,1,532.97
Slovakia vs Germany,7,391,31,36,15,24,19,3,12,16,586,29,0,4,0,0,0,2,5,0,0,0,0,2,5,4,0,3,0,0,4,2,1,0,8,10,1,1,16,6,68,349,34,383,27,390,257,159,185,230,119,217,81,21,10,18,18,24,0,14,10,6,13,12,17,0,0,28.3,64.85,44312,82,39,50,109.0,0,-3,-1,499.51
Hungary vs Belgium,16,484,11,27,13,17,9,0,12,12,656,28,0,10,0,0,0,6,7,0,3,0,0,8,8,11,0,5,0,0,6,8,2,0,18,11,6,0,15,11,59,467,37,489,25,501,344,179,245,279,120,302,104,6,5,11,16,17,0,10,7,3,6,12,16,0,0,29.5,12.7,28921,85,54,41,107.0,0,-4,-1,365.61
Belgium vs Hungary,25,414,26,22,10,14,9,3,10,15,590,12,0,6,1,0,4,14,8,0,3,0,3,11,11,17,3,5,0,0,17,5,3,0,17,9,8,4,15,22,49,401,34,416,38,412,306,141,207,243,53,206,191,16,10,16,6,14,0,9,5,3,6,3,9,0,0,26.8,328.0,28921,82,46,59,105.0,4,4,1,240.93
