Match,Shots,Passes,Dribbles,Tackles Attempted,Interceptions,Clearances,Blocks,Offsides,Fouls,Aerial duels,Touches,Loss of possession,Errors,Saves,Claims,Punches,Shots - Results - Goals,Shots - Results - Shots on Target,Shots - Results - Shots off Target,Shots - Results - Woodworks,Shots - Results - Blocked,Shots - Results - Own,Shots - Zones - 6-yard box,Shots - Zones - Penalty Area,Shots - Zones - Outside of box,Shots - Situation - Open Play,Shots - Situation - Fastbreak,Shots - Situation - Set Pieces,Shots - Situation - Penalty,Shots - Situation - Own Goal,Shots - Body Parts - Right foot,Shots - Body Parts - Left foot,Shots - Body Parts - Head,Shots - Body Parts - Other body parts,Passes - Pass Type - Cross,Passes - Pass Type - Freekick,Passes - Pass Type - Corner,Passes - Pass Type - Through Ball,Passes - Pass Type - Throw In,Passes - Pass Type - Key Passes,Passes - Length - Long,Passes - Length - Short,Passes - Height - Chipped,Passes - Height - Ground,Passes - Body Parts - Head,Passes - Body Parts - Feet,Passes - Direction - Forward,Passes - Direction - Backward,Passes - Direction - Left,Passes - Direction - Right,Passes - Target Zone - Defensive Third,Passes - Target Zone - Mid Third,Passes - Target Zone - Final Third,Dribbles - Outcome - Successful,Dribbles - Outcome - Unsuccessful,Tackles Attempted - Outcome - Successful Tackles,Tackles Attempted - Outcome - Was Dribbled,Clearances - Outcome - Total,Clearances - Outcome - Off The Line,Clearances - Body Parts - Head,Clearances - Body Parts - Feet,Blocks - Type - Blocked Shots,Blocks - Type - Crosses,Loss of possession - Type - Dispossessed,Loss of possession - Type - Turnover,Errors - Type - Lead to Shot,Errors - Type - Lead to Goal,Average Age,Market Value,Spectators,Pass rate,Ball possession,Tackle rate,Distance covered,Goals scored,Result-GoalDiff,Result-W/L/D,TravelDistance
Northern Ireland vs Poland,2,274,8,33,16,33,15,2,12,15,446,16,0,3,0,0,0,0,1,0,1,0,0,1,1,1,0,1,0,0,1,0,1,0,9,10,1,0,21,2,73,234,28,279,47,260,208,99,150,156,65,151,91,4,4,24,9,33,0,20,13,7,8,8,8,0,0,28.6,27.5,33742,64,35,49,103.0,0,-1,-1,326.67
Germany vs Ukraine,18,675,18,17,18,20,13,2,9,16,863,15,0,3,2,0,2,9,5,1,4,0,0,10,8,15,1,2,0,0,12,4,2,0,21,9,6,5,18,16,63,662,67,658,40,685,457,262,361,363,91,378,256,12,6,10,7,20,0,8,12,1,12,5,10,0,0,26.7,386.0,43035,88,68,57,114.0,2,2,1,532.97
Ukraine vs Germany,5,300,11,23,9,29,14,2,9,10,464,14,0,7,0,2,0,3,1,0,1,0,0,1,4,2,0,3,0,0,1,3,1,0,23,9,12,0,17,3,74,274,54,294,26,322,226,122,170,173,90,138,120,7,4,11,12,29,0,15,14,4,10,7,7,0,0,28.0,92.7,43035,68,32,43,115.0,0,-2,-1,806.71
Spain vs Czech Republic,18,696,16,7,18,9,11,7,11,8,879,17,0,3,0,0,1,5,8,0,5,0,1,10,7,10,0,8,0,0,8,4,6,0,30,11,14,3,25,17,38,719,62,695,21,736,456,297,388,365,68,367,322,7,9,5,2,9,0,6,3,2,9,7,10,0,0,28.8,389.0,29400,89,72,48,107.0,1,1,1,375.77
Czech Republic vs Spain,6,275,4,20,13,34,17,1,12,8,423,10,0,4,2,2,0,3,1,0,2,0,0,3,3,3,0,3,0,0,4,1,1,0,9,14,3,0,18,4,63,240,28,275,33,270,216,86,137,164,70,108,125,2,2,13,7,34,0,13,21,5,12,4,6,0,0,30.2,42.4,29400,64,28,52,110.0,0,-1,-1,398.64
Republic of Ireland vs Sweden,10,315,8,21,9,29,14,3,11,26,485,11,0,1,1,2,1,4,5,1,0,1,0,5,4,7,0,2,0,1,6,0,3,0,23,17,5,0,23,9,79,286,52,313,60,305,240,125,190,173,51,160,154,4,4,13,8,29,0,14,15,1,13,3,8,0,0,29.3,66.5,73419,64,43,54,102.0,1,0,0,21.73
Sweden vs Republic of Ireland,7,420,9,10,7,34,5,4,15,26,598,27,0,3,0,0,0,0,5,0,2,0,0,5,2,1,0,6,0,0,2,3,2,0,24,13,5,0,29,4,69,408,43,434,59,418,318,159,250,224,57,233,187,8,1,6,4,34,0,27,7,0,5,12,15,0,0,29.4,53.7,73419,74,57,46,101.0,1,0,0,394.70
Belgium vs Italy,18,525,12,12,16,28,24,1,10,13,742,22,0,4,0,1,0,3,6,0,9,0,0,5,13,15,1,2,0,0,10,6,2,0,35,12,8,1,27,16,64,528,50,542,32,560,372,218,291,300,59,301,232,10,2,9,3,28,0,12,16,3,21,10,12,0,0,27.2,323.5,55408,85,56,51,108.0,0,-2,-1,446.94
Italy vs Belgium,12,412,7,22,14,33,24,0,12,16,604,21,0,3,1,0,2,6,3,0,3,0,0,6,6,10,0,2,0,0,8,2,2,0,18,11,6,1,22,10,58,401,49,410,31,428,309,148,239,219,102,235,122,3,4,12,10,33,0,14,19,9,15,7,14,0,0,31.5,123.5,55408,78,44,49,120.0,2,2,1,254.98
Austria vs Hungary,14,428,15,31,12,12,13,0,10,18,619,26,0,5,1,1,0,3,7,1,4,0,0,6,8,8,0,6,0,0,6,8,0,0,18,15,4,3,20,10,75,397,52,420,43,429,316,154,242,226,97,211,164,10,5,21,10,12,0,3,9,2,11,16,10,0,0,28.3,101.75,34424,73,52,53,106.0,0,-2,-1,474.76
Hungary vs Austria,14,398,15,31,15,19,17,1,16,15,604,30,0,3,2,0,2,7,5,0,2,0,0,4,10,12,1,1,0,0,8,5,1,0,14,8,4,2,28,13,65,383,53,395,28,420,316,128,223,223,102,232,114,10,5,21,10,19,0,7,12,4,13,17,13,0,0,28.3,13.05,34424,75,48,47,110.0,2,2,1,595.26
Portugal vs Iceland,26,623,18,13,10,17,8,3,9,18,840,24,1,3,0,0,1,9,8,0,9,0,1,10,15,16,1,9,0,0,11,7,8,0,41,10,11,1,27,21,61,635,55,641,38,658,454,237,342,351,82,380,234,11,7,7,6,17,0,8,9,0,8,13,11,0,1,28.6,232.5,38742,89,72,47,111.0,1,0,0,389.78
Iceland vs Portugal,4,245,12,28,18,24,17,2,17,28,412,11,0,8,3,0,1,4,0,0,0,0,0,4,0,3,1,0,0,0,2,2,0,0,9,12,2,0,19,3,75,201,30,246,53,223,206,69,132,143,46,116,114,6,6,17,11,24,0,10,14,7,10,4,7,0,0,28.6,31.65,38742,57,28,53,112.0,1,0,0,143.63
Russia vs Slovakia,15,559,18,26,14,7,15,0,8,19,739,18,0,1,0,0,1,2,7,0,6,0,0,5,10,13,0,2,0,0,12,1,2,0,28,14,6,1,28,12,74,545,60,559,43,576,404,215,291,326,79,342,198,7,11,14,12,7,0,4,3,2,13,5,13,0,0,28.0,82.2,38989,85,65,51,112.0,1,-1,-1,205.59
Slovakia vs Russia,9,305,20,18,13,36,11,5,12,18,482,21,0,1,3,4,2,3,4,0,2,0,1,4,4,6,0,3,0,0,4,4,1,0,6,6,5,1,22,8,61,276,21,316,29,308,227,107,161,175,51,191,95,12,8,11,7,36,0,21,15,6,5,6,15,0,0,29.4,70.6,38989,72,35,49,111.0,2,1,1,499.51
Romania vs Switzerland,14,264,16,24,13,33,16,1,23,9,460,18,0,5,1,1,1,3,6,1,5,0,0,7,7,11,0,2,1,0,10,2,2,0,18,12,4,0,20,8,64,245,36,273,39,270,221,84,155,153,47,132,130,9,7,18,6,33,0,19,14,4,12,9,9,0,0,29.9,30.4,43576,65,34,45,103.0,1,0,0,37.42
Switzerland vs Romania,19,547,8,21,16,15,16,5,11,18,757,30,0,2,0,0,1,6,9,0,4,0,0,12,7,11,0,8,0,0,7,7,5,0,28,18,7,2,23,13,61,543,69,535,46,558,405,198,322,281,134,284,186,6,2,12,9,15,0,10,5,5,11,17,13,0,0,27.0,115.0,43576,84,66,55,107.0,1,0,0,594.84
France vs Albania,22,529,22,27,19,20,18,1,16,40,768,31,0,0,0,1,2,2,12,1,8,0,0,14,8,17,1,4,0,0,11,2,9,0,36,9,6,1,25,18,43,550,61,532,46,547,385,204,290,299,65,341,187,14,8,16,11,20,0,15,5,4,14,15,16,0,0,28.5,208.0,63670,88,60,56,107.0,2,2,1,670.71
Albania vs France,8,363,14,37,9,22,15,1,13,15,548,26,0,0,1,1,0,0,4,0,4,0,1,2,5,4,0,4,0,0,3,4,1,0,15,15,4,0,20,5,70,333,43,360,34,369,274,127,197,205,74,242,87,11,3,23,14,22,0,12,10,7,8,13,13,0,0,27.9,27.25,63670,73,40,44,108.0,0,-2,-1,918.28
England vs Wales,20,512,27,22,4,30,10,1,10,22,729,28,1,1,1,0,2,5,9,0,6,0,3,7,10,14,0,6,0,0,9,6,5,0,29,9,9,2,26,15,57,518,62,513,31,544,354,221,289,285,85,268,222,17,10,12,10,30,0,19,11,1,9,15,13,0,1,25.8,259.0,34033,85,70,51,106.0,2,1,1,140.13
Wales vs England,8,218,14,40,17,35,21,1,9,14,432,30,0,2,1,1,1,2,5,0,1,0,0,5,3,6,0,2,0,0,2,2,4,0,18,9,3,1,19,7,68,190,27,231,30,228,192,66,118,136,59,100,99,10,4,23,17,35,0,20,15,7,14,10,20,0,0,27.4,154.0,34033,63,30,49,106.0,1,-1,-1,404.57
Ukraine vs Northern Ireland,15,535,10,16,16,12,9,3,14,20,728,23,0,5,1,1,0,4,7,0,4,0,1,4,10,13,0,2,0,0,9,3,3,0,24,14,2,0,32,10,72,527,66,533,49,550,384,213,303,289,106,323,170,7,3,11,5,12,0,6,6,3,6,11,12,0,0,28.4,92.2,51043,83,69,52,110.0,0,-2,-1,251.29
Northern Ireland vs Ukraine,13,232,9,20,10,29,13,1,14,16,406,16,1,4,1,1,2,7,3,0,3,0,0,8,5,8,0,5,0,0,7,2,4,0,18,15,3,0,27,10,70,208,36,242,47,231,204,74,137,139,24,124,130,5,4,13,7,29,0,17,12,4,9,9,7,1,0,29.4,26.35,51043,56,31,48,114.0,2,2,1,38.68
Germany vs Poland,16,611,22,25,20,18,18,2,14,15,831,24,0,0,0,0,0,3,10,0,3,0,0,7,9,15,0,1,0,0,11,3,2,0,31,11,8,5,29,13,57,619,70,606,39,637,437,235,335,338,97,300,279,10,12,16,9,18,0,8,10,4,14,9,15,0,0,27.0,404.0,73648,85,69,49,110.0,0,0,0,423.05
Poland vs Germany,7,276,14,29,17,36,28,3,9,12,501,27,0,3,2,1,0,0,3,0,4,0,1,1,5,5,0,2,0,0,4,2,1,0,11,13,2,0,28,6,49,273,27,295,41,281,242,79,162,155,47,153,122,9,5,19,10,36,0,20,16,3,25,13,14,0,0,28.4,154.9,73648,67,31,51,112.0,0,0,0,397.30
Italy vs Sweden,8,446,7,19,10,17,11,0,16,11,589,15,0,0,0,1,1,3,3,1,2,0,0,6,2,7,0,1,0,0,7,0,1,0,17,17,7,0,16,6,69,418,54,433,34,453,318,168,253,231,108,257,122,4,3,10,9,17,0,8,9,1,10,3,12,0,0,31.4,128.5,29600,79,49,46,114.0,1,1,1,141.70
Sweden vs Italy,4,459,10,9,9,27,7,4,14,16,623,17,0,2,2,1,0,0,3,0,1,0,1,0,3,3,0,1,0,0,2,1,1,0,19,14,4,1,22,4,81,427,47,461,36,472,321,183,275,231,106,258,144,9,1,5,4,27,0,17,10,2,5,9,8,0,0,29.0,54.5,29600,80,51,54,108.0,0,-1,-1,510.25
Czech Republic vs Croatia,7,350,12,19,28,23,13,1,15,15,534,16,1,3,1,2,2,4,0,0,3,0,0,4,3,3,0,3,1,0,5,1,1,0,17,10,2,0,26,1,61,338,37,362,45,354,274,125,200,194,60,195,144,2,10,8,11,23,0,13,10,4,9,5,11,0,1,30.4,37.65,38376,73,45,36,114.0,2,0,0,354.35
Croatia vs Czech Republic,17,424,19,16,18,24,16,0,13,26,629,18,0,2,0,0,2,5,8,0,4,0,0,11,6,11,1,5,0,0,10,4,3,0,28,13,11,2,24,13,62,416,46,432,61,417,285,193,247,229,80,230,168,11,8,14,2,24,0,19,5,3,13,5,13,0,0,29.1,196.0,38376,78,55,64,109.0,2,0,0,541.43
Spain vs Turkey,18,706,19,12,9,17,10,1,15,10,854,17,0,0,0,0,3,6,8,0,4,0,2,9,7,13,0,5,0,0,10,4,4,0,16,15,7,4,10,16,49,686,43,692,31,704,443,287,379,350,104,385,246,9,10,6,6,17,0,11,6,1,9,7,10,0,0,28.8,389.0,33409,90,61,48,109.0,3,3,1,728.45
Turkey vs Spain,8,438,8,23,11,18,9,4,13,7,588,16,1,3,0,0,0,0,7,0,1,0,0,5,3,7,0,1,0,0,5,3,0,0,15,13,3,0,18,6,55,420,36,439,29,446,283,191,266,207,90,244,141,6,2,14,9,18,0,9,9,4,5,4,12,0,1,28.2,114.0,33409,82,39,52,106.0,0,-3,-1,133.30
Belgium vs Republic of Ireland,17,469,18,28,8,20,11,3,8,13,656,25,0,0,1,0,3,7,8,0,2,0,0,8,9,11,2,4,0,0,8,5,4,0,25,9,5,1,15,15,49,467,30,486,31,485,333,180,233,281,78,213,225,9,9,21,7,20,0,8,12,2,9,12,13,0,0,26.3,325.0,39493,86,57,55,102.0,3,3,1,6.50
Republic of Ireland vs Belgium,10,352,16,28,10,13,16,1,10,9,530,27,0,3,0,0,0,0,6,0,4,0,0,5,5,8,0,2,0,0,2,5,3,0,21,9,4,0,20,8,57,339,38,358,31,365,267,124,194,200,56,173,167,7,9,19,9,13,0,3,10,3,13,13,14,0,0,29.1,64.0,39493,78,43,45,103.0,0,-3,-1,479.98
Iceland vs Hungary,9,260,6,22,11,29,15,1,15,18,416,18,0,4,0,0,1,2,2,0,4,1,0,6,2,3,0,4,1,1,6,1,1,0,7,15,3,0,18,4,78,208,34,252,54,232,218,67,146,136,38,133,115,1,5,14,8,29,0,12,17,3,12,13,5,0,0,28.6,31.65,60842,61,29,46,110.0,1,0,0,298.08
Hungary vs Iceland,12,642,12,15,12,14,8,2,15,20,827,31,2,1,0,0,0,4,5,0,3,0,0,3,9,7,0,5,0,0,2,9,1,0,21,13,5,0,26,8,75,619,53,641,38,656,465,227,356,338,138,363,193,8,4,14,1,14,0,10,4,4,4,11,20,1,1,29.0,11.8,60842,85,71,54,107.0,1,0,0,112.50
Portugal vs Austria,23,534,15,20,12,14,11,5,15,14,734,20,0,1,0,0,0,6,11,2,6,0,0,11,12,13,0,9,1,0,13,5,5,0,36,12,10,0,24,13,53,542,57,538,34,561,401,192,297,293,82,308,205,7,8,15,5,14,0,6,8,0,11,9,11,0,0,29.4,230.5,44291,84,59,48,108.0,0,0,0,22.10
Austria vs Portugal,4,375,12,24,16,35,18,2,16,18,577,28,0,6,1,0,0,1,3,0,0,0,1,0,3,2,0,2,0,0,1,2,1,0,13,17,0,0,21,2,56,359,39,376,35,380,289,124,218,195,119,170,126,5,7,17,7,35,0,14,21,6,12,13,15,0,0,27.5,88.0,44291,75,41,52,109.0,0,0,0,610.98
Switzerland vs France,6,505,8,32,12,26,12,4,9,14,696,31,0,4,0,0,0,0,3,0,3,0,0,2,4,5,0,1,0,0,5,0,1,0,19,9,5,0,22,6,54,499,48,505,33,520,353,197,296,256,91,335,127,3,5,22,10,26,0,19,7,4,8,20,11,0,0,26.6,129.5,45616,88,58,46,108.0,0,0,0,780.53
France vs Switzerland,14,353,18,26,11,24,13,0,10,17,561,30,0,0,1,0,0,4,5,2,5,0,0,7,7,12,0,2,0,0,9,3,2,0,26,12,10,2,26,13,57,351,51,357,46,362,266,139,212,196,50,192,166,10,8,23,3,24,0,9,15,3,10,15,15,0,0,28.7,257.0,45616,80,42,54,106.0,0,0,0,222.73
Romania vs Albania,16,518,34,34,13,16,15,1,14,14,727,20,1,4,1,0,0,3,8,1,5,0,0,2,14,13,0,3,0,0,12,4,0,0,12,14,2,0,26,11,48,517,41,524,18,547,387,176,285,278,97,275,193,23,11,22,12,16,0,12,4,2,13,11,9,0,1,28.7,28.7,49752,83,63,53,101.0,0,-1,-1,417.71
Albania vs Romania,14,302,18,43,15,25,20,5,12,18,522,33,0,3,0,0,1,5,7,0,2,0,3,8,3,7,0,7,0,0,6,3,5,0,18,12,6,1,29,12,55,296,46,305,45,306,250,101,171,179,66,167,118,12,6,20,23,25,0,14,11,5,15,17,16,0,0,27.6,27.55,49752,73,37,47,104.0,1,1,1,719.45
Russia vs Wales,12,437,4,29,14,12,15,1,9,8,596,15,0,9,1,0,0,2,6,0,4,0,1,4,7,10,0,2,0,0,9,2,1,0,29,8,4,0,23,7,54,443,44,453,19,478,320,174,241,253,55,239,203,1,3,8,21,12,0,7,5,3,12,4,11,0,0,30.0,77.2,28840,82,49,28,108.0,0,-3,-1,551.08
Wales vs Russia,19,476,27,7,24,28,19,3,6,21,680,22,1,2,3,0,3,12,4,0,3,0,0,13,6,14,1,4,0,0,5,11,3,0,14,7,5,4,18,14,77,435,33,479,40,472,310,201,253,255,94,315,103,21,6,6,1,28,0,17,11,4,15,6,16,1,0,27.4,155.5,28840,84,51,72,107.0,3,3,1,615.85
Slovakia vs England,4,391,17,36,15,37,27,1,7,22,569,15,0,4,2,2,0,2,2,0,0,0,1,1,2,3,0,1,0,0,4,0,0,0,5,11,0,0,14,0,75,338,27,386,28,385,254,158,204,207,76,269,68,10,7,17,19,37,0,18,19,14,13,5,10,0,0,29.4,70.6,39051,79,39,54,106.0,0,0,0,105.28
England vs Slovakia,29,575,32,19,8,14,8,1,12,15,777,17,1,2,0,1,0,5,11,0,13,0,2,12,15,27,0,2,0,0,15,10,4,0,35,7,11,7,25,26,40,599,60,579,30,609,392,244,328,310,81,324,234,19,13,9,10,14,0,11,3,0,8,7,10,1,0,26.9,219.0,39051,89,61,46,110.0,0,0,0,439.63
Northern Ireland vs Germany,2,199,9,39,12,29,21,2,10,21,349,12,0,8,1,1,0,1,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,0,7,11,3,2,13,1,77,142,24,195,37,182,157,59,108,110,28,111,80,4,5,20,19,29,0,15,14,5,16,6,6,0,0,29.4,26.35,44125,56,21,46,113.0,0,-1,-1,360.44
Germany vs Northern Ireland,28,724,24,14,4,10,7,3,8,23,925,29,0,1,2,0,1,9,14,2,5,0,1,19,8,23,0,5,0,0,14,9,5,0,33,11,6,5,25,24,58,733,59,732,43,748,503,282,388,400,118,357,316,19,5,10,4,10,0,8,2,1,6,15,14,0,0,27.1,389.0,44125,90,79,54,111.0,1,1,1,423.30
Ukraine vs Poland,19,573,11,17,24,12,9,2,23,14,761,21,0,2,0,0,0,4,9,0,6,0,0,9,10,18,0,1,0,0,9,7,3,0,22,14,3,3,30,14,58,572,51,579,70,560,394,233,315,310,106,336,188,7,4,14,3,12,0,8,4,2,7,9,12,0,0,28.4,81.7,58874,83,66,46,112.0,0,-1,-1,29.21
Poland vs Ukraine,9,295,7,19,20,24,16,2,12,18,476,23,0,4,2,0,1,3,4,0,2,0,0,7,2,6,0,3,0,0,4,3,2,0,7,23,2,1,23,7,66,262,27,301,42,286,240,86,163,163,42,184,102,3,4,12,7,24,0,15,9,6,10,11,12,0,0,26.9,153.3,58874,66,34,54,111.0,1,1,1,754.98
Czech Republic vs Turkey,12,394,11,18,13,31,5,3,16,32,574,18,0,0,2,0,0,5,6,1,1,0,1,6,5,9,0,3,0,0,7,3,2,0,33,16,8,0,19,11,64,387,66,385,66,385,314,136,243,208,64,190,197,6,5,12,6,31,0,18,13,1,4,6,12,0,0,28.9,43.4,32836,76,54,53,112.0,0,-2,-1,376.72
