"Match","Shots","Passes","Dribbles","Tackles.Attempted","Interceptions","Clearances","Blocks","Offsides","Fouls","Aerial.duels","Touches","Loss.of.possession","Errors","Saves","Claims","Punches","Shots...Results...Goals","Shots...Results...Shots.on.Target","Shots...Results...Shots.off.Target","Shots...Results...Woodworks","Shots...Results...Blocked","Shots...Results...Own","Shots...Zones...6.yard.box","Shots...Zones...Penalty.Area","Shots...Zones...Outside.of.box","Shots...Situation...Open.Play","Shots...Situation...Fastbreak","Shots...Situation...Set.Pieces","Shots...Situation...Penalty","Shots...Situation...Own.Goal","Shots...Body.Parts...Right.foot","Shots...Body.Parts...Left.foot","Shots...Body.Parts...Head","Shots...Body.Parts...Other.body.parts","Passes...Pass.Type...Cross","Passes...Pass.Type...Freekick","Passes...Pass.Type...Corner","Passes...Pass.Type...Through.Ball","Passes...Pass.Type...Throw.In","Passes...Pass.Type...Key.Passes","Passes...Length...Long","Passes...Length...Short","Passes...Height...Chipped","Passes...Height...Ground","Passes...Body.Parts...Head","Passes...Body.Parts...Feet","Passes...Direction...Forward","Passes...Direction...Backward","Passes...Direction...Left","Passes...Direction...Right","Passes...Target.Zone...Defensive.Third","Passes...Target.Zone...Mid.Third","Passes...Target.Zone...Final.Third","Dribbles...Outcome...Successful","Dribbles...Outcome...Unsuccessful","Tackles.Attempted...Outcome...Successful.Tackles","Tackles.Attempted...Outcome...Was.Dribbled","Clearances...Outcome...Total","Clearances...Outcome...Off.The.Line","Clearances...Body.Parts...Head","Clearances...Body.Parts...Feet","Blocks...Type...Blocked.Shots","Blocks...Type...Crosses","Loss.of.possession...Type...Dispossessed","Loss.of.possession...Type...Turnover","Errors...Type...Lead.to.Shot","Errors...Type...Lead.to.Goal","Average.Age","Market.Value","Ball.Posession","Spectators","Pass.rate","Tackle.rate","Distance.covered","Goals.scored","Result.GoalDiff","Result.W.L.D","TravelDistance"
"Spain vs Poland",12,708,14,17,7,10,10,1,16,13,898,31,1,1,0,0,1,5,7,1,0,0,2,8,2,9,0,2,1,0,6,6,0,0,27,16,7,2,24,7,56,708,66,698,37,727,453,304,375,380,87,385,292,4,10,8,9,10,0,3,7,0,10,13,18,1,0,26.2,545,24,11742,88,42,109.8,1,0,0,388.4
"Poland vs Spain",5,217,16,26,15,31,14,2,17,12,417,19,0,4,0,1,1,2,3,2,0,0,1,2,2,5,0,0,0,0,1,3,1,0,9,17,1,1,18,3,62,184,44,202,16,230,171,75,127,118,44,106,96,9,7,22,4,31,0,16,15,0,14,2,17,0,0,27.5,194.5,76,11742,59,58,108.4,1,0,0,2654.74
"Italy vs Wales",23,595,15,14,4,7,4,3,14,14,755,24,0,1,0,0,1,6,11,1,6,0,1,13,9,19,0,4,0,0,14,8,1,0,18,10,7,4,23,21,36,603,39,600,30,609,365,272,311,328,128,335,176,10,5,12,2,7,0,4,3,0,4,7,17,0,0,27,380,31,11541,92,56,101.3,1,1,1,225.85
"Wales vs Italy",3,264,4,21,8,14,10,0,12,10,391,17,0,5,1,0,0,1,2,0,0,0,0,3,0,0,0,3,0,0,0,1,2,0,2,16,1,0,10,3,59,225,36,248,19,265,182,102,129,155,95,116,73,2,2,11,10,14,0,7,7,6,4,10,7,0,0,26.6,96.7,69,11541,75,44,97.9,0,-1,-1,3114
"Switzerland vs Turkey",23,482,23,24,11,14,7,0,14,12,692,32,0,5,0,0,3,10,6,1,7,0,1,10,12,19,1,3,0,0,13,10,0,0,19,20,8,5,19,18,44,481,44,481,22,503,333,188,280,243,83,271,171,15,8,14,10,14,0,7,7,4,3,17,15,0,0,28.3,161.5,50,17138,87,53,106.5,3,2,1,3110.98
"Turkey vs Switzerland",19,474,18,37,10,20,18,1,20,10,675,24,0,7,0,1,1,6,9,0,4,0,0,9,10,15,0,4,0,0,10,6,3,0,17,14,8,2,8,18,37,469,40,466,23,483,310,194,231,272,86,269,151,10,8,22,15,20,0,9,11,7,11,7,17,0,0,26,204.8,50,17138,86,47,102.8,1,-2,-1,6.26
"North Macedonia vs Netherlands",13,408,14,34,21,12,13,3,8,2,617,41,0,3,1,1,0,1,7,1,5,0,1,5,7,8,0,5,0,0,8,2,3,0,15,13,5,0,17,11,49,396,46,399,12,433,289,154,234,209,120,209,116,3,11,18,16,12,0,4,8,4,9,15,26,0,0,28.9,54.2,59,15227,83,39,109.3,0,-3,-1,1787.9
"Netherlands vs North Macedonia",17,602,24,29,13,10,18,2,13,5,786,26,0,1,0,0,3,7,7,1,3,0,1,9,7,14,1,2,0,0,12,3,1,1,13,11,7,4,12,12,39,589,45,583,13,615,389,234,324,302,117,295,216,16,8,26,3,10,0,1,9,5,13,11,15,0,0,27.4,391.55,41,15227,86,61,111,3,3,1,40.26
"Ukraine vs Austria",5,455,10,19,10,15,19,1,10,6,646,33,0,3,1,0,0,1,2,0,2,0,0,4,1,3,0,2,0,0,4,0,1,0,19,10,4,0,28,4,43,466,45,464,26,483,324,183,247,258,111,270,128,4,6,11,8,15,0,5,10,6,13,11,22,0,0,25.9,130,50,10472,82,43,107.7,0,-1,-1,3.95
"Austria vs Ukraine",18,455,16,19,7,19,10,2,11,10,635,19,0,2,0,1,1,4,8,0,6,0,1,11,6,12,1,5,0,0,9,6,3,0,19,10,9,1,22,14,48,450,64,434,29,469,310,187,240,256,87,248,163,8,8,15,4,19,0,11,8,2,8,4,15,0,0,27.2,234.8,50,10472,80,57,107,1,1,1,1200.1
