"Match","Shots","Passes","Dribbles","Tackles.Attempted","Interceptions","Clearances","Blocks","Offsides","Fouls","Aerial.duels","Touches","Loss.of.possession","Errors","Saves","Claims","Punches","Shots...Results...Goals","Shots...Results...Shots.on.Target","Shots...Results...Shots.off.Target","Shots...Results...Woodworks","Shots...Results...Blocked","Shots...Results...Own","Shots...Zones...6.yard.box","Shots...Zones...Penalty.Area","Shots...Zones...Outside.of.box","Shots...Situation...Open.Play","Shots...Situation...Fastbreak","Shots...Situation...Set.Pieces","Shots...Situation...Penalty","Shots...Situation...Own.Goal","Shots...Body.Parts...Right.foot","Shots...Body.Parts...Left.foot","Shots...Body.Parts...Head","Shots...Body.Parts...Other.body.parts","Passes...Pass.Type...Cross","Passes...Pass.Type...Freekick","Passes...Pass.Type...Corner","Passes...Pass.Type...Through.Ball","Passes...Pass.Type...Throw.In","Passes...Pass.Type...Key.Passes","Passes...Length...Long","Passes...Length...Short","Passes...Height...Chipped","Passes...Height...Ground","Passes...Body.Parts...Head","Passes...Body.Parts...Feet","Passes...Direction...Forward","Passes...Direction...Backward","Passes...Direction...Left","Passes...Direction...Right","Passes...Target.Zone...Defensive.Third","Passes...Target.Zone...Mid.Third","Passes...Target.Zone...Final.Third","Dribbles...Outcome...Successful","Dribbles...Outcome...Unsuccessful","Tackles.Attempted...Outcome...Successful.Tackles","Tackles.Attempted...Outcome...Was.Dribbled","Clearances...Outcome...Total","Clearances...Outcome...Off.The.Line","Clearances...Body.Parts...Head","Clearances...Body.Parts...Feet","Blocks...Type...Blocked.Shots","Blocks...Type...Crosses","Loss.of.possession...Type...Dispossessed","Loss.of.possession...Type...Turnover","Errors...Type...Lead.to.Shot","Errors...Type...Lead.to.Goal","Average.Age","Market.Value","Ball.Posession","Spectators","Pass.rate","Tackle.rate","Distance.covered","Goals.scored","Result.GoalDiff","Result.W.L.D","TravelDistance"
"Netherlands vs Czech Republic",6,417,17,20,9,5,7,4,6,28,584,24,0,3,1,0,0,0,4,0,2,0,1,4,1,3,0,3,0,0,3,2,1,0,22,13,6,1,24,5,67,401,45,423,57,411,294,174,221,243,99,201,168,10,7,12,8,5,0,2,3,3,4,9,15,0,0,28.4,381.55,48,52834,71,53,97.4,0,-2,-1,1114.62
"Czech Republic vs Netherlands",12,396,12,26,13,21,10,1,14,27,569,28,0,0,0,0,2,5,4,0,3,0,3,5,4,8,0,4,0,0,5,3,4,0,13,8,5,0,18,10,69,363,44,388,52,380,305,126,206,224,71,214,147,8,4,16,10,21,0,11,10,2,8,9,19,0,0,28.4,117.2,52,52834,73,47,109.5,2,2,1,446.99
"Belgium vs Portugal",6,451,21,30,7,28,13,1,14,14,617,21,0,4,0,0,1,1,4,0,1,0,0,1,5,5,0,1,0,0,4,2,0,0,5,11,0,2,9,5,60,415,34,441,32,443,310,165,247,227,101,260,114,14,7,17,13,28,0,19,9,5,8,10,11,0,0,30.4,420.9,57,11504,83,48,107.6,1,1,1,1683.02
"Portugal vs Belgium",23,596,21,31,11,9,7,3,9,14,779,20,0,0,0,0,0,4,14,1,5,0,1,8,14,16,1,6,0,0,13,5,5,0,22,12,3,1,17,17,68,570,80,558,32,606,365,271,332,305,99,309,230,13,8,17,14,9,0,5,4,1,6,9,11,0,0,28.9,348,43,11504,89,52,107.2,0,-1,-1,2325.65
"Croatia vs Spain",12,427,27,29,11,25,12,6,26,12,651,32,1,5,2,0,2,7,5,0,0,0,3,7,2,8,1,3,0,0,9,2,1,0,10,13,1,4,22,10,52,417,46,423,23,446,302,163,227,239,136,219,114,12,15,18,11,25,0,14,11,3,9,9,23,0,1,27.2,234.5,67,22771,82,42,136.5,3,-2,-1,1183.46
"Spain vs Croatia",24,883,18,35,9,10,15,3,10,13,1114,27,1,4,0,0,5,10,10,1,3,1,2,16,5,19,0,4,0,1,7,12,4,0,25,29,8,6,17,20,79,853,87,845,28,904,524,398,456,474,173,533,226,11,7,23,12,10,0,3,7,1,14,11,16,0,1,26.4,389,33,22771,90,58,147.9,5,2,1,2074.84
"France vs Switzerland",26,623,33,25,14,22,12,1,14,18,863,28,0,2,1,0,3,8,12,1,6,0,2,11,13,22,1,3,0,0,12,11,3,0,24,12,8,3,21,19,50,625,60,615,28,647,410,261,335,339,112,349,214,20,13,17,8,22,0,8,14,2,10,12,16,0,0,28.3,569,46,22642,89,55,134,3,0,0,1902.84
"Switzerland vs France",13,534,18,41,11,33,14,1,13,14,764,29,0,5,0,0,4,5,4,0,3,0,2,5,5,4,1,6,1,0,6,2,4,0,15,12,5,2,24,8,50,528,54,524,32,546,376,198,297,276,95,319,164,8,10,21,20,33,0,17,16,5,9,9,20,0,0,28.3,161.5,54,22642,85,45,139.4,3,0,0,1140.48
"England vs Germany",5,445,11,14,6,21,4,2,11,24,590,19,1,3,0,1,2,4,1,0,0,0,1,3,1,3,0,2,0,0,2,0,3,0,13,7,3,3,17,5,52,427,40,439,37,442,285,192,249,229,98,265,116,6,5,12,2,21,0,14,7,2,2,7,12,1,0,26.6,550,54,41973,83,55,105.7,2,2,1,166.29
"Germany vs England",9,528,10,17,6,13,3,2,9,17,660,16,0,2,1,0,0,3,4,0,2,0,0,5,4,6,1,2,0,0,4,4,1,0,13,12,3,6,14,4,51,510,64,497,40,521,324,231,277,283,182,280,99,2,8,11,6,13,0,9,4,0,3,4,12,0,0,28.6,488,46,41973,84,45,105.4,0,-2,-1,817.77
"Sweden vs Ukraine",13,639,13,13,5,16,14,2,11,13,824,32,0,2,0,0,1,3,7,2,3,0,0,9,4,9,1,3,0,0,10,2,1,0,18,9,6,2,21,9,45,639,56,628,42,642,427,254,334,348,103,369,212,10,3,9,4,16,0,8,8,2,12,11,21,0,0,29,145.4,54,9221,84,48,144.2,1,-1,-1,1007.68
"Ukraine vs Sweden",15,765,8,23,13,25,13,3,7,15,976,25,0,2,2,1,2,4,9,1,2,0,0,11,4,11,1,3,0,0,7,7,1,0,17,11,2,2,26,12,80,735,66,749,33,782,463,351,404,409,149,461,205,4,4,13,10,25,0,11,14,3,10,6,19,0,0,27,94.5,46,9221,86,52,142.7,2,1,1,2477.73
"Switzerland vs Spain",10,369,15,38,12,27,18,4,15,14,592,25,0,10,0,1,2,2,4,0,2,1,1,5,2,4,0,4,0,1,2,2,4,0,16,15,9,4,13,6,82,321,76,327,32,371,276,126,209,194,114,180,109,8,7,33,5,27,0,9,18,9,9,8,17,0,0,28,169.5,72,24764,71,58,140.4,1,0,0,2345.96
"Spain vs Switzerland",29,969,20,20,9,13,15,2,14,19,1219,37,0,1,0,0,0,10,9,0,10,0,4,18,6,18,0,10,0,0,7,14,7,0,32,17,13,4,29,24,54,985,78,961,36,1003,610,425,491,545,140,548,351,5,15,12,8,13,0,6,7,2,13,20,17,0,0,27.3,404,28,24764,91,42,147.2,1,0,0,3188.7
"Belgium vs Italy",10,448,22,22,10,13,13,1,16,18,626,23,0,2,0,0,1,4,1,0,5,0,2,3,5,6,1,2,1,0,4,5,1,0,18,14,9,0,18,6,49,440,51,438,31,458,297,189,246,242,129,231,129,13,9,17,5,13,0,6,7,4,9,9,14,0,0,29.4,402.9,54,12984,83,58,106.1,1,-1,-1,602.3
"Italy vs Belgium",14,533,14,28,8,18,11,2,13,8,703,26,0,2,0,0,2,3,7,0,4,0,0,8,6,10,1,3,0,0,10,4,0,0,10,15,5,2,15,14,58,506,54,510,26,538,338,226,286,274,76,271,217,5,9,15,13,18,0,9,9,6,5,9,17,0,0,28.9,425.5,46,12984,88,42,112.6,2,1,1,494.47
"Czech Republic vs Denmark",16,452,12,20,12,13,7,3,9,19,633,23,0,4,0,0,1,5,6,0,5,0,2,9,5,13,0,3,0,0,6,8,1,1,28,7,9,2,15,13,56,445,79,422,40,461,344,155,248,250,94,230,177,9,3,12,8,13,0,11,2,3,4,10,13,0,0,28.6,111.7,45,16306,80,48,114.5,1,-1,-1,2945.02
"Denmark vs Czech Republic",11,376,14,22,18,31,14,0,10,25,559,19,0,4,0,1,2,7,2,0,2,0,0,8,3,7,3,1,0,0,9,1,1,0,14,12,7,2,17,11,71,340,52,359,46,365,276,135,197,213,76,215,120,8,6,13,9,31,0,23,8,4,10,8,11,0,0,27.8,173,55,16306,76,52,107.9,2,1,1,3204.76
"Ukraine vs England",7,590,5,29,9,7,11,0,10,3,708,26,0,2,0,0,0,2,1,0,4,0,0,3,4,6,0,1,0,0,4,3,0,0,6,5,3,0,11,3,37,571,27,581,13,595,332,273,298,309,142,360,106,3,2,17,12,7,0,4,3,2,9,8,18,0,0,26.1,104,51,11880,89,42,105.3,0,-4,-1,1139.38
"England vs Ukraine",10,622,21,13,9,11,16,2,4,8,777,20,1,2,0,0,4,6,2,0,2,0,0,8,2,6,0,4,0,0,3,2,5,0,8,8,2,2,20,8,43,609,27,625,17,635,354,295,326,320,92,423,137,12,9,10,3,11,0,5,6,4,12,9,11,1,0,26,640,49,11880,91,58,106,4,4,1,1602.33
"Italy vs Spain",8,387,10,23,24,21,18,8,17,10,597,25,1,3,0,2,1,4,2,1,1,0,0,5,2,6,1,0,0,0,3,4,0,0,2,18,1,9,28,6,62,364,59,367,28,398,272,152,223,200,132,200,94,2,8,17,6,21,0,10,11,5,13,9,16,1,0,28.8,411.5,70,57811,75,48,145.6,1,0,0,1221.77
"Spain vs Italy",17,908,10,17,13,11,15,1,18,10,1121,35,0,3,0,0,1,5,7,0,4,0,0,7,9,11,1,4,0,0,10,5,1,0,19,22,6,2,22,11,65,892,65,892,22,935,576,376,478,472,180,529,248,6,4,15,2,11,0,3,8,1,14,15,20,0,0,26,422,30,57811,89,52,142,1,0,0,1260.8
"England vs Denmark",20,728,30,16,13,13,10,0,10,21,963,31,1,2,0,2,1,10,6,0,4,0,2,13,5,8,1,10,1,0,13,2,5,0,29,14,6,4,25,15,70,720,60,730,33,757,446,338,408,374,106,416,268,15,15,11,5,13,0,8,5,1,9,19,12,1,0,25.9,605,42,64950,87,51,139,2,1,1,166.29
"Denmark vs England",7,534,16,48,15,33,12,1,21,20,746,19,0,9,0,0,1,3,2,0,1,1,0,1,5,5,0,1,0,1,5,1,0,0,15,7,5,0,21,4,70,502,71,501,38,534,365,204,292,278,139,282,151,5,11,33,15,33,0,14,19,4,8,2,17,0,0,27.9,173,58,64950,81,49,137.2,1,-1,-1,980.06
"Italy vs England",20,820,26,42,13,17,9,5,21,24,1079,31,0,1,1,0,2,6,9,0,4,0,3,7,9,13,0,6,0,0,9,8,2,0,21,9,3,5,34,11,41,845,66,820,35,851,530,350,446,439,182,481,223,16,10,27,15,17,0,9,8,1,8,7,24,0,0,28.8,411.5,34,67173,89,53,144.1,1,0,0,1221.77
"England vs Italy",7,426,28,31,14,15,18,1,13,22,660,31,0,5,0,0,2,2,3,0,1,0,0,4,2,1,0,5,0,0,2,2,2,0,15,23,5,1,31,3,64,417,51,430,40,441,321,160,233,245,113,222,146,15,13,15,16,15,0,5,10,4,14,16,15,0,0,26.9,560,66,67173,75,47,142.5,1,0,0,166.29
